Name,Bitter,Hot,Salty,Sour,Sweet ,Catching,Egg,Encounter,Exp,Humongo,Item Drop,Raid,Teensy,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psycic,Rock ,Steel,Water
Apple,1,0,0,3,4,0,4,-1,0,-5,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0
Avocado,0,0,0,1,3,4,0,7,0,0,0,-1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,0,0,5,1,1,4,0,7,0,0,0,-1,0,,,,,,,,,,,,,,,,6,,
Banana,,,,1,4,-1,4,,,-5,7,,,7,,,7,,,,,,,,,7,,,,,
Basil,4,,1,1,,,2,-2,,,,2,,,1,1,1,1,,1,,,1,,1,,,1,,,1
Cheese,,,3,,1,2,,-2,2,,2,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cherry Tomatoes,1,,,5,3,4,,7,4,,,-1,,6,,,,,,,,,,,,,,,,,
Chorizo,2,4,4,,,,,4,7,,-1,,,12,,12,12,,,12,,,,,,12,12,,,,
Cucumber,1,,2,,1,4,,7,,,,-1,,,,,,,,,,,,,,,,,,,6
Egg,1,,2,,1,,,4,7,,-1,,,,,,,12,,,12,,12,,12,,,,12,12,
Fried Fillet,3,,3,,2,21,,-3,,,,12,,20,20,,20,,,,20,,,20,20,20,,,,20,20
Green Bell Pepper,5,,,1,1,4,,7,,,,-1,,,,,,,,,,,,,,,6,,,,
Ham,,,5,,1,12,,7,,,,-1,,,,,,,,,,,,,,,,,,,
Hamburger,9,,12,,6,12,,21,,,,-3,,,,,,,,,,,,,,,,,,18,
Herbed Sausage,4,,4,,1,,,4,7,,-1,,,,12,,,,12,,,12,,12,,,,12,,,12
Jalapeno,,5,,2,,-1,4,,,-5,7,,,,,,,7,,,,,7,,,,,,7,,
Kiwi,1,,,5,2,-1,4,,,-5,7,,,,,7,,,,7,,,,,,,7,,,,
Klawf Stick,,,4,,4,4,,7,,,,-1,,,,,,,,,,,,,6,,,,,,
Lettuce,2,,,,1,4,,7,,,,-1,,,,,,,,,,,6,,,,,,,,
Noodles,,,4,,,,,12,,21,,,-3,,,,30,,,,,,,30,30,,30,30,30,,
Onion,1,3,,,2,4,,7,,,,-1,,,,,,,,,,,,,,,,6,,,
Pickle,2,,,4,1,4,,7,,,,-1,,,,,,,6,,,,,,,,,,,,
Pineapple,1,,,5,3,-1,4,,,-5,7,,,,7,,,,,,,,,7,,,,,,,7
Potato Salad,1,,3,4,2,,,12,,21,,,-3,30,30,30,,30,,,,30,,,,,,,,30,
Potato Tortilla,3,1,4,1,3,21,,-3,,,,12,,,,20,,20,20,,,20,20,,,,20,20,20,,
Prosciutto,,,4,1,2,4,,7,,,,-1,,,,,,,,,6,,,,,,,,,,
Red Bell Pepper,3,,,1,1,4,,7,,,,-1,,,,,,,,6,,,,,,,,,,,
Red Onion,1,,,,3,4,,7,,,,-1,,,,,,,,,,6,,,,,,,,,
Rice,,,,1,3,,,12,,21,,,-3,,,,,,30,30,30,,30,,,30,,,,,30
Smoked Fillet,3,,3,2,1,4,,7,,,,-1,,,6,,,,,,,,,,,,,,,,
Strawberry,,,,4,4,-1,4,,,-5,7,,,,,,,,7,,,7,,,,,,7,,,
Tofu,,,,,3,4,,7,,,,-1,,,,,,,,,,,,,,6,,,,,
Tomato,1,,,4,2,4,,7,,,,-1,,,,,,6,,,,,,,,,,,,,
Watercress,5,1,1,2,,,2,-2,,,,2,,1,,,,,1,,1,1,,1,,1,1,,1,1,
Yellow Bell Pepper,3,,,1,1,4,,7,,,,-1,,,,,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
